OBJECTID,NAME,GlobalID,ShapeSTArea,ShapeSTLength
1,North Pitt HS,{8B90CA9C-BA38-4B10-988C-EBE8789D1E2A},6016673715.70496,445389.259628824
2,J H Rose HS,{194BD02D-F27A-4877-9D3C-9C3386844294},588658155.964233,148028.085087085
3,South Central HS,{0F628CDC-5020-41C1-82C0-CEEBFE4CFD40},687764891.278564,210590.590183437
4,Farmville Central HS,{EF61C1C0-6AA5-47C6-80B1-7E5B721028E2},4067898966.04553,345911.15786526
5,D H Conley HS,{DF0EBFF3-70C3-44BF-AC61-B9DCCDEEA511},4169338492.99121,440423.207944854
6,Ayden-Grifton HS,{7C3AD623-AAE4-409E-A539-BBEC3CF780D7},2737425600.09363,327015.826947422
